order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
4712,โฉนด,9012,1575,1373,05M012,1,2,18.8,,618.8,,,
4713,โฉนด,28938,1572,5719,05M012/001,0,0,86.7,,86.7,,,
4714,โฉนด,28939,1573,5720,05M012/002,0,0,87.1,,87.1,,,
4715,โฉนด,28640,1574,5709,05M012/003,0,1,15.5,,,,115.5,
4716,โฉนด,29176,1588,5747,05M012/004,0,0,89.6,,,89.6,,
4717,โฉนด,29177,1589,5748,05M012/005,0,0,89.2,,89.2,,,
4718,โฉนด,28642,1590,5711,05M012/006,0,0,44.4,,,44.4,,
4719,โฉนด,29066,1560,5723,05M012/007,0,0,86,,,86,,
4720,โฉนด,29067,1561,5724,05M012/008,0,0,68.8,,68.8,,,
4721,โฉนด,29068,1562,5725,05M012/009,0,0,69.5,,,69.5,,
4722,โฉนด,29069,1563,5726,05M012/010,0,0,67.7,,67.7,,,
4723,โฉนด,29070,1564,5727,05M012/011,0,0,66.8,,,66.8,,
4724,โฉนด,29071,1565,5728,05M012/012,0,0,68.5,,68.5,,,
4725,โฉนด,29072,1566,5729,05M012/013,0,0,66,,66,,,
4726,โฉนด,29073,1567,5730,05M012/014,0,0,66.1,,66.1,,,
4727,โฉนด,28639,1568,5708,05M012/015,0,0,64.1,,,64.1,,
4728,โฉนด,28935,1569,5716,05M012/016,0,0,88.6,,,88.6,,
4729,โฉนด,28936,1570,5717,05M012/017,0,0,86,,,86,,
4730,โฉนด,28937,1571,5718,05M012/018,0,0,86.8,,86.8,,,
4731,โฉนด,29159,1576,5749,05M012/019,0,0,71.7,,71.7,,,
4732,โฉนด,29160,1577,5750,05M012/020,0,0,63,,63,,,
4733,โฉนด,29161,1578,5751,05M012/021,0,0,59.2,,,59.2,,
4734,โฉนด,29162,1579,6489,05M012/022,0,0,60.1,,60.1,,,
4735,โฉนด,29163,1580,5753,05M012/023,0,0,58.5,,,58.5,,
4736,โฉนด,29164,1581,5754,05M012/024,0,0,55.3,,,55.3,,
